Time,Source,Dest,Proto,Size,Summary,Payload
12:38:47,34.107.243.93,172.29.254.244,TCP,886,Ether / IP / TCP 34.107.243.93:https > 172.29.254.244:51174 PA / Raw,17030302357a339838268eb18895e32cd2d30600b4cf3047642457246aeed156b189a94ea825000937e5fe2cd1f87f1d0f24cd65dee082fcc190c8272c218b03d291a14a50cae61fe762fcccd4e860e36719c82f1f72802f9f9314cd9b1f874ed2868e47be89fd53db626f1fdc3109225c8ed44d7a3b0cf072fa805df8c113f724e9be40d89f3c16fa9e48077112a3486e643ebf188ae512203d79b66e7ab113d5a2781aad4d8c3ea1a8d802ade63452ef78edcc2cdb6016d268531f2ab40b70dfdc32d54c3991a1f90537bdd472205edd8136460ecdcbb505fa4d0270e256c3360408d9fb9b817a375efcf4a7f957d5b100058f04e9d5beb8bd7093b02007ce93ddb26f86a17bfc56991008c2070d8eaf8974bee66acbffd122ee8e7792124898b393fb65efa721ef95b1d2983a5995128451106e6be8bc2ce945ff3c580a44dae7eb182d55d07d6b4faf63850336b42dbad3f6a1bcca8fdf402008d74adbd3b9e0366c102facc50e6e86b3dd1fa9a9d5d06d6d6ad9251ac750475895ae97e55e4a480d36d7a25be010626866cb9adebacf7b3652ad2fe1e3f39791a64c2d87c462117bbff67f2f879c2ded4684ce61caff5b180bf954a01dd397d5437c724cda3bded6b444439defa074a79702ada3c5f7808825c041e4f5623fcee74e8c7b50df81a0796e5862dab6733cb0ca6ff9c38697a1bd60f9f4cbad8bf5030400bd87791fac9b715348d2ce28fde82233f2f61cf429b953e706492f658e689b8fe439958b4cecd376651a9b50c45e7954a17db8a4dbba132a1faaec1703030101c2b9384313184b3515a6c08f98f1be3c1b9511edc6ec2fab1b98d4e4b666bc0e54464d06d9db142ff21ae637b8b04618f875c55c77c4ca1430645961219dcf6cbd11048356785516e44e11deb2f84a8fe10c2e928e417a6f77b3f8f89b1614eb614c1bf28ec3fab6a1775de166db63be40049bbb8e5e05b88eda094cce5456cab4c911a7369ae4bbbadf9735515e822b100ad8697df2598b29f2d9e6730fa741c64676fdcc34b43a34e12899a5db6f59f671fcdc82e1e12cd8cde45d0f761b9635293cdf9e8eaa6fb0c5b9acbd31f9e79da7708d7553ca20d242c710eafdfb8321442b2effd159407e5efe53342f103fff0c4f5486deeda57d0c98d3f8f287cd18
12:38:47,172.29.254.244,34.107.243.93,TCP,193,Ether / IP / TCP 172.29.254.244:51174 > 34.107.243.93:https PA / Raw,170303008622ef514268bad5aa4ecc5e7c376fd4fdc144350d7e4cecd8c01f8706b8b1a9e2019fe17d2bba4bb29868bee1cf2e7d469756f57d212f9885596909a3407a94ac312117039b01b9700d51b1308eb0655c17feb969526f16edbf624a6cf0ee358e106949366d8f2042e99ea9aef0dad955aa48c7fb8216a084c94c5cd000ad3ac351a4daed421f
12:38:48,34.107.243.93,172.29.254.244,TCP,60,Ether / IP / TCP 34.107.243.93:https > 172.29.254.244:51174 A / Padding,No Payload
12:38:48,172.29.254.244,151.101.209.91,TCP,74,Ether / IP / TCP 172.29.254.244:58608 > 151.101.209.91:https S,No Payload
12:38:48,172.29.254.244,34.107.243.93,TCP,54,Ether / IP / TCP 172.29.254.244:51174 > 34.107.243.93:https A,No Payload
12:39:08,185.125.190.97,172.29.254.244,TCP,66,Ether / IP / TCP 185.125.190.97:http > 172.29.254.244:47040 SA,No Payload
12:39:08,172.29.254.244,185.125.190.97,TCP,54,Ether / IP / TCP 172.29.254.244:47040 > 185.125.190.97:http A,No Payload
12:39:08,172.29.254.244,185.125.190.97,TCP,142,Ether / IP / TCP 172.29.254.244:47040 > 185.125.190.97:http PA / Raw,474554202f20485454502f312e310d0a486f73743a20636f6e6e65637469766974792d636865636b2e7562756e74752e636f6d2e0d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a20636c6f73650d0a0d0a
12:39:23,0.0.0.0,255.255.255.255,UDP,336,Ether / IP / UDP / BOOTP / DHCP Request,No Payload
12:39:35,172.29.254.244,172.29.254.13,UDP,342,Ether / IP / UDP / BOOTP / DHCP Request,No Payload
12:39:45,172.29.254.244,34.107.243.93,TCP,93,Ether / IP / TCP 172.29.254.244:38964 > 34.107.243.93:https PA / Raw,17030300220dd267743a7a5f597fb83d61fef0340ca9265d0ccad84a4e8c51ad1697dcad2e0fe9
12:39:45,172.29.254.244,142.250.207.78,TCP,93,Ether / IP / TCP 172.29.254.244:48428 > 142.250.207.78:https PA / Raw,1703030022d10a35fb7fc0fe38a65fbf6443a049f82a44bf2467210e077abb7e653eb2f437ddeb
12:39:45,0.0.0.0,255.255.255.255,UDP,336,Ether / IP / UDP / BOOTP / DHCP Request,No Payload
12:39:46,172.29.254.244,142.250.207.78,TCP,54,Ether / IP / TCP 172.29.254.244:48428 > 142.250.207.78:https A,No Payload
